[],Kudos to California for doing the right thing. Civil disobedience has long been a tool for calling out unjust situa… https://t.co/DxUWeFRGV4,CareDavis22,"Chicago, IL"
[],"RT @gtconway3d: Five tweets this morning, and in every one, you’ve misspelled “I never had any conversation with Michael Cohen about his te…",qmindora,
[],"RT @funder: BREAKING: Senator Merkley just said if the report Trump told Cohen to lie to Congress is confirmed, then Trump committed a felo…",MosesRoss,"Portland, OR"
[],RT @GeorgeTakei: I would accept a plea bargain by both Trump and Pence to resign in exchange for leniency in sentencing. Madam Pelosi could…,rglass09,
[],RT @TeaPainUSA: Tea would wager that Trump instructed all his folks to lie to Congress because he knew Nunes and his other GOP imps and dem…,KarenATTaylor,"Ktown,NC"
[],Good thread summarizing the level of corruption in the @GOP,fel0ncod3,"San Francisco, CA"
[],"RT @AndyKroll: NEW: Rep. Will Hurd — a ***Texas Republican*** — tells @RollingStone that @realDonaldTrump's border crisis is a ""myth.""

Hur…",ImDavidDunn,FedexField/PhoneBooth/NatsPark
[],"RT @TeaPainUSA: MORE:  Reporter on MSNBC confirms that prosecutors has documentation to back up Cohen’s testimony.

This is straight-up cri…",FlipNoir,
[],RT @kylegriffin1: Asked if she viewed Trump canceling her overseas congressional trip as retaliation for her calling to reschedule the Stat…,AM_Forsaken,"Glen Allen, Virginia"
[],@TheResistance52 It’s a wig he found in Trump’s closet..😂,Ava_ABQuteee,
[],"RT @funder: Wow. Trump canceled Speaker Pelosi’s plane and leaked info so they couldn’t even fly commercially into a war zone, and also mee…",SFairclough1956,"Oregon, USA"
[],"@LeeChatfield @realDonaldTrump Let me guess, young, inexperienced @leechatfield is a gullible Repuglican...am I rig… https://t.co/IfJNDZZs7a",O__Canada,Earth
[],Thread,Jlawler_,United States
[],Stephen Colbert and Trevor Noah shake their heads at Trump's Pelosi retaliation move https://t.co/n0c7WhPVRx via @TheWeek,CaroleCasuco,
[],RT @VP: Honored to speak at the @March_for_Life. @POTUS Donald Trump is the most pro-life president in American history. But we know we sti…,dchopsey,"Freeland, PA"
[],@realDonaldTrump 32% of Americans rather be a Russian then a dem. Even after u remove the dem title they hate us so… https://t.co/gIKaz7cGHY,Nesta44526481,
[],"RT @BuzzFeedNews: Sources also say Trump, along with his children Ivanka and Donald Jr., received regular, detailed updates about the proje…",BernieBuddy16,"Los Angeles, CA"
[],RT @mitchellreports: .@SpeakerPelosi cannot use military plane to war zone and NATO that speakers are entitled to (for security since 9/11…,dakotachild,
[],"RT @NatashaBertrand: NEW: In a shift, Dems will not necessarily wait for Mueller's findings to launch impeachment proceedings, I'm told. Ba…",uptwnsh,"phoenix, az, usa"
[],"RT @SenSanders: We must repeal the Trump tax breaks for the top 1% and large, profitable corporations. At a time of massive income and weal…",nerd_matthew,"Lindenhurst, NY"
[],"RT @sarahkendzior: This is the right move, Dems. Start the proceedings, get information into the public domain. Force transparency that is…",Carolyn00287950,"Orangeburg, SC"
[],"RT @funder: BREAKING: Senator Merkley just said if the report Trump told Cohen to lie to Congress is confirmed, then Trump committed a felo…",RodSan13,Sunshine @ Heart. Geography is a Circumstance
[],Good article. - How will history judge President Trump? https://t.co/ridRzz87V8,Pamtheism,"Jaw-ja (Georgia, USA)"
[],RT @TeaPainUSA: Tea would wager that Trump instructed all his folks to lie to Congress because he knew Nunes and his other GOP imps and dem…,Tao_of_Otter,"Grouchy, cuddly, and in the #R"
[],"RT @keithboykin: So Trump asked Russia to hack a US citizen.

He gave classified intel to Russians.

His campaign chair gave confidential p…",strongone1969,"Red Oak, TX"
[],"RT @Millie__Weaver: I disagree with Trump cancelling Nancy Pelosi's flight to Afghanistan. 

He should've cancelled her return flight...

#…",SlavinBen,
[],"RT @WayneDupreeShow: One thing we do know for a fact. 

Pres. Trump has not stopped working to improve this country's economy, and the oppo…",mrguysinger,USA
[],RT @RepJoeKennedy: It’s the most devastating hallmark of this Administration’s policies. A complete indifference to the suffering of fellow…,_deadbinladen,the ether.
[],"RT @nytpolitics: The only red-state Senate Democrat up for re-election in 2020, Doug Jones is taking on President Trump and the wall, which…",JoeAndy74611394,
[],RT @vermontgmg: I break down the six things that really stand out to me about the Michael Cohen news. Short answer: it's a really big deal.…,mpaps282,"Ashland, MA"
[],RT @rabiasquared: You know Trump thinks our prayer rugs fly https://t.co/Jl509wLNig,AndrewMystic56,"Llanfair Pwllgwyngyll, Wales"
